2026-06-11 12:06:00 | INFO    | monitoring.metrics | [m2_mules] n_alertes=500 | n_transit=968026 | n_clusters=22 | n_aretes=6750838 | duree_s=47.4 | n_entree=25456467
2026-06-11 12:06:00 | INFO    | inference.M4_commissions | M4 chargé : 13 services de référence
2026-06-11 12:06:26 | INFO    | inference.M4_commissions | Scoring terminé : 6 alertes en 26.2s
2026-06-11 12:06:26 | INFO    | inference.M4_commissions | Exports : ['M4_commissions_alertes.csv', 'M4_commissions_scores.parquet', 'M4_commissions_stats.json']
2026-06-11 12:06:26 | INFO    | monitoring.metrics | [m4_commissions] n_alertes=6 | n_jours_services=318 | services_inconnus=[] | duree_s=26.2 | n_entree=25456467
2026-06-11 12:06:26 | INFO    | inference.M5_echec | M5 chargé : LightGBM, 36 features (fuite contrôlée)
2026-06-11 12:06:47 | ERROR   | pipeline | ❌ m5_echec : [M5_echec] ValueError: train and valid dataset categorical_feature do not match.
2026-06-11 12:06:47 | INFO    | inference.M6_reconciliation | M6 chargé : préfixes complémentaires {'TC': 'CO', 'XX': 'RC'}
2026-06-11 12:08:05 | INFO    | inference.M6_reconciliation | Scoring terminé : 536 alertes en 78.4s
2026-06-11 12:08:06 | INFO    | inference.M6_reconciliation | Exports : ['M6_reconciliation_alertes.csv', 'M6_reconciliation_scores.parquet', 'M6_reconciliation_stats.json']
2026-06-11 12:08:06 | INFO    | monitoring.metrics | [m6_reconciliation] n_alertes=536 | n_a_reconcilier=102426 | n_auto_fiable=100156 | n_suggestion=1961 | n_manuel=309 | taux_auto_pct=97.8 | gain_heures=5008.0 | duree_s=78.4 | n_entree=25456467
2026-06-11 12:08:06 | INFO    | monitoring.metrics | Run 20260611_114919 finalisé (1126.8s)
2026-06-11 12:08:06 | INFO    | pipeline | ═══ RUN 20260611_114919 ⚠️ PARTIEL (2 échec(s)) → /home/koceila_salem_orange_com/ML/outputs/runs/20260611_114919 ═══
2026-06-11 12:21:37 | INFO    | cli.publier | M1_fraude : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 12:21:37 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 12:21:37 | INFO    | cli.publier | M4_commissions : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 12:21:37 | INFO    | registry | Modèle M5_echec publié : version 2026-06-11_v1
2026-06-11 12:21:37 | INFO    | cli.publier | M5_echec publié -> 2026-06-11_v1
2026-06-11 12:21:37 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 12:23:19 | INFO    | cli.run_inference | Chargement : data/processed/OM_clean.parquet
2026-06-11 12:23:21 | INFO    | pipeline | ═══ RUN 20260611_122321 ═══ 25,456,467 transactions
2026-06-11 12:23:27 | INFO    | validation | ✓ Colonnes requises présentes (7)
2026-06-11 12:23:27 | INFO    | validation | ✓ Volume : 25,456,467 transactions
2026-06-11 12:23:27 | INFO    | validation | ✓ Montants numériques OK
2026-06-11 12:23:27 | INFO    | validation | ✓ Dates parsables OK
2026-06-11 12:23:27 | WARNING | validation | ⚠ 10,161 TRANSFER_ID dupliqués (dédoublonnage appliqué en aval)
2026-06-11 12:23:27 | INFO    | monitoring.drift | PSI TRANSACTION_AMOUNT = 0.0000 [stable]
2026-06-11 12:23:27 | INFO    | monitoring.drift | Verdict drift global : stable
2026-06-11 12:23:27 | INFO    | pipeline | Modèles à exécuter : ['m5_echec']
2026-06-11 12:23:27 | INFO    | pipeline | Feature engineering (blocs A-D)...
2026-06-11 12:39:24 | INFO    | pipeline | Features OK : 49 colonnes f_*
2026-06-11 12:39:24 | INFO    | inference.M5_echec | M5 chargé : LightGBM, 36 features (fuite contrôlée)
2026-06-11 12:40:04 | INFO    | inference.M5_echec | Scoring terminé : 1257029 alertes en 40.8s
2026-06-11 12:40:20 | INFO    | inference.M5_echec | Exports : ['M5_echec_alertes.csv', 'M5_echec_scores.parquet', 'M5_echec_stats.json']
2026-06-11 12:40:20 | INFO    | monitoring.metrics | [m5_echec] n_alertes=1257029 | pct_alertes=4.938 | proba_moyenne=0.1813 | seuil=0.8 | duree_s=40.8 | n_entree=25456467
2026-06-11 12:40:20 | INFO    | monitoring.metrics | Run 20260611_122321 finalisé (1018.8s)
2026-06-11 12:40:20 | INFO    | pipeline | ═══ RUN 20260611_122321 ✅ COMPLET → /home/koceila_salem_orange_com/ML/outputs/runs/20260611_122321 ═══
2026-06-11 12:45:11 | INFO    | cli.run_inference | Chargement : data/processed/OM_clean.parquet
2026-06-11 12:45:13 | INFO    | pipeline | ═══ RUN 20260611_124513 ═══ 25,456,467 transactions
2026-06-11 12:45:20 | INFO    | validation | ✓ Colonnes requises présentes (7)
2026-06-11 12:45:20 | INFO    | validation | ✓ Volume : 25,456,467 transactions
2026-06-11 12:45:20 | INFO    | validation | ✓ Montants numériques OK
2026-06-11 12:45:20 | INFO    | validation | ✓ Dates parsables OK
2026-06-11 12:45:20 | WARNING | validation | ⚠ 10,161 TRANSFER_ID dupliqués (dédoublonnage appliqué en aval)
2026-06-11 12:45:20 | INFO    | monitoring.drift | PSI TRANSACTION_AMOUNT = 0.0000 [stable]
2026-06-11 12:45:20 | INFO    | monitoring.drift | Verdict drift global : stable
